time,open,high,low,close,Volume,Volume MA
2020-09-10 03:00:00,1.18039,1.18084,1.18028,1.18028,1845,6009.25
2020-09-10 04:00:00,1.1801,1.1803,1.17973,1.18029,420,5756.15
2020-09-10 05:00:00,1.18031,1.18093,1.18029,1.1809,1747,5700.45
2020-09-10 06:00:00,1.18091,1.18102,1.1803,1.18035,1286,5608.0
2020-09-10 07:00:00,1.18033,1.18146,1.18005,1.18102,3714,5678.75
2020-09-10 08:00:00,1.18104,1.18209,1.18071,1.18207,5022,5784.05
2020-09-10 09:00:00,1.18208,1.1824,1.1815,1.18222,3152,5590.15
2020-09-10 10:00:00,1.18223,1.18245,1.18205,1.18219,2149,5275.65
2020-09-10 11:00:00,1.18219,1.18226,1.1819,1.18192,1602,4924.65
2020-09-10 12:00:00,1.1819,1.18288,1.18189,1.18271,2748,4755.1
2020-09-10 13:00:00,1.1827,1.18369,1.18251,1.18262,5324,4782.05
2020-09-10 14:00:00,1.18262,1.18292,1.18161,1.18189,7783,4804.55
2020-09-10 15:00:00,1.18188,1.18401,1.18172,1.18343,5411,4554.6
2020-09-10 16:00:00,1.18342,1.18402,1.18291,1.18387,5462,4158.0
2020-09-10 17:00:00,1.18386,1.18445,1.1831,1.18378,5387,3796.75
2020-09-10 18:00:00,1.18377,1.18503,1.18311,1.18464,7629,3793.5
2020-09-10 19:00:00,1.18467,1.19028,1.18395,1.18878,15922,4376.6
2020-09-10 20:00:00,1.18879,1.19176,1.18838,1.18985,13838,4843.2
2020-09-10 21:00:00,1.18986,1.19088,1.18676,1.18733,11689,5261.25
2020-09-10 22:00:00,1.18738,1.18875,1.18651,1.18789,11534,5683.2
2020-09-10 23:00:00,1.18791,1.1885,1.1848,1.18577,10417,6111.8
2020-09-11 00:00:00,1.18575,1.18644,1.18534,1.18548,7751,6478.35
2020-09-11 01:00:00,1.18544,1.18577,1.18181,1.1825,9280,6855.0
2020-09-11 02:00:00,1.18251,1.18267,1.18102,1.18177,9269,7254.15
2020-09-11 03:00:00,1.18172,1.18194,1.18103,1.18147,1865,7161.7
2020-09-11 04:00:00,1.18106,1.18217,1.18105,1.18202,710,6946.1
2020-09-11 05:00:00,1.18192,1.18286,1.18191,1.18272,2000,6888.5
2020-09-11 06:00:00,1.1827,1.18287,1.18223,1.18234,1325,6847.3
2020-09-11 07:00:00,1.18235,1.18369,1.18235,1.18348,3681,6951.25
2020-09-11 08:00:00,1.18349,1.18402,1.18312,1.18333,4393,7033.5
2020-09-11 09:00:00,1.18332,1.18383,1.18315,1.18332,2709,6902.75
2020-09-11 10:00:00,1.18332,1.18362,1.18302,1.18338,3365,6681.85
2020-09-11 11:00:00,1.18335,1.18372,1.18319,1.18355,2058,6514.2
2020-09-11 12:00:00,1.18354,1.18416,1.18322,1.18375,2494,6365.8
